;;Grid 02
[2 0 0 0 8 0 3 0 0
 0 6 0 0 7 0 0 8 4
 0 3 0 5 0 0 2 0 9
 0 0 0 1 0 5 4 0 8
 0 0 0 0 0 0 0 0 0
 4 0 2 7 0 6 0 0 0
 3 0 1 0 0 7 0 4 0
 7 2 0 0 4 0 0 6 0
 0 0 4 0 1 0 0 0 3]
;;Grid 03
[0 0 0 0 0 0 9 0 7
 0 0 0 4 2 0 1 8 0
 0 0 0 7 0 5 0 2 6
 1 0 0 9 0 4 0 0 0
 0 5 0 0 0 0 0 4 0
 0 0 0 5 0 7 0 0 9
 9 2 0 1 0 8 0 0 0
 0 3 4 0 5 9 0 0 0
 5 0 7 0 0 0 0 0 0]
;;Grid 04
[0 3 0 0 5 0 0 4 0
 0 0 8 0 1 0 5 0 0
 4 6 0 0 0 0 0 1 2
 0 7 0 5 0 2 0 8 0
 0 0 0 6 0 3 0 0 0
 0 4 0 1 0 9 0 3 0
 2 5 0 0 0 0 0 9 8
 0 0 1 0 2 0 6 0 0
 0 8 0 0 6 0 0 2 0]
;;Grid 50
[3 0 0 2 0 0 0 0 0
 0 0 0 1 0 7 0 0 0
 7 0 6 0 3 0 5 0 0
 0 7 0 0 0 9 0 8 0
 9 0 0 0 2 0 0 0 4
 0 1 0 8 0 0 0 5 0
 0 0 9 0 4 0 3 0 1
 0 0 0 7 0 2 0 0 0
 0 0 0 0 0 8 0 0 6]
